,available_translations,first_aired,ids.imdb,ids.tmdb,ids.trakt,ids.tvdb,ids.tvrage,number,number_abs,overview,rating,season,title,updated_at,votes
0,[],2015-04-27 01:00:00,tt3866836,1045552,1782361,5150175,1065765455,3,,"In Braavos, Arya sees the Many-Faced God; In King's Landing, Queen Margaery enjoys her new husband; Tyrion and Varys walk the Long Bridge of Volantis.",7.91456,5,High Sparrow,2016-06-04T11:23:46.000Z,5431
0,[],2015-05-04 01:00:00,tt3866838,1045553,1782362,5150183,1065765456,4,,The Faith Militant grow increasingly aggressive. Jaime and Bronn head south. Ellaria and the Sand Snakes vow vengeance.,7.99889,5,Sons of the Harpy,2016-06-04T10:58:17.000Z,5398
0,[],2015-05-11 01:00:00,tt3866840,1051286,1786535,5171022,1065774189,5,,Daenerys makes a difficult decision in Meereen; Jon recruits the help of an unexpected ally; Brienne searches for Sansa; Theon remains under Ramsay’s control.,7.90377,5,Kill the Boy,2016-06-04T06:34:08.000Z,4562
0,[],2015-05-18 01:00:00,tt3866842,1051287,1786537,5171023,1065775844,6,,Arya trains. Jorah and Tyrion run into slavers. Trystane and Myrcella make plans. Jaime and Bronn reach their destination. The Sand Snakes attack.,7.62641,5,"Unbowed, Unbent, Unbroken",2016-06-04T11:03:08.000Z,4778
0,[],2015-05-25 01:00:00,tt3866846,1051288,1786539,5171024,1065779792,7,,Jon prepares for conflict. Sansa tries to talk to Theon. Brienne waits for a sign. Stannis remains stubborn. Jaime attempts to reconnect with family.,8.06271,5,The Gift,2016-06-04T12:02:18.000Z,4959
0,[],2015-06-01 01:00:00,tt3866850,1070282,1786541,5194184,1065797703,8,,Arya makes progress in her training. Sansa confronts an old friend. Cersei struggles. Jon travels.,8.88543,5,Hardhome,2016-06-04T12:16:11.000Z,5935
0,[],2015-06-08 01:00:00,tt3866826,1054979,1786543,5194187,1065797704,9,,Stannis confronts a troubling decision. Jon returns to The Wall. Mace visits the Iron Bank. Arya encounters someone from her past. Daenerys reluctantly oversees a traditional celebration of athleticism. ,8.57949,5,The Dance of Dragons,2016-06-04T05:28:15.000Z,5579
0,[],2015-06-15 01:00:00,tt3866862,1159054,1786545,5194188,1065797705,10,,"Stannis marches on Winterfell. With Daenerys missing, Meereen has to find a new custodian. Cersei seeks forgiveness for her sins. Jon deals with life back behind the wall.",8.3994,5,Mother's Mercy,2016-06-04T09:12:38.000Z,6019
0,[],2016-04-25 01:00:00,tt3658014,1156503,1956360,5469015,1065893436,1,,Jon Snow is dead. Daenerys meets a strong man. Cersei sees her daughter again.,8.10537,6,The Red Woman,2016-06-04T13:11:57.000Z,10031
0,[],2016-05-02 01:00:00,tt4077554,1187406,1989020,5579002,1065908649,2,,"Bran trains with the Three-Eyed Raven. In King’s Landing, Jaime advises Tommen. Tyrion demands good news, but has to make his own. At Castle Black, the Night’s Watch stands behind Thorne. Ramsay Bolton  proposes a plan, and Balon Greyjoy entertains other proposals.",8.48316,6,Home,2016-06-04T13:32:20.000Z,10034
0,[],2016-05-09 01:00:00,tt4131606,1186952,1989021,5579003,1065908650,3,,"Daenerys meets her future. Bran meets the past. Tommen confronts the High Sparrow. Arya trains to be No One. Varys finds an answer. Ramsay gets a gift.
",8.1404,6,Oathbreaker,2016-06-04T13:24:08.000Z,9252
0,[],2016-05-16 01:00:00,tt4283016,1186953,1989022,5599364,1065908651,4,,Tyrion strikes a deal. Jorah and Daario undertake a difficult task. Jaime and Cersei try to improve their situation.,8.49212,6,Book of the Stranger,2016-06-04T13:24:02.000Z,9195
0,[],2016-05-23 01:00:00,tt4283028,1186954,1989023,5600132,1065908652,5,,Tyrion seeks a strange ally. Bran learns a great deal. Brienne goes on a mission. Arya is given a chance to prove herself.,8.59655,6,The Door,2016-06-04T13:42:55.000Z,9555
0,[],2016-05-30 01:00:00,tt4283054,1186955,1989025,5615733,1065908653,6,,An old foe comes back into the picture. Gilly meets Sam’s family. Arya faces a difficult choice. Jaime faces off against the High Sparrow.,8.07543,6,Blood of My Blood,2016-06-04T13:43:31.000Z,8087
0,[],2016-06-06 01:00:00,tt4283060,1186956,1989026,5615734,1065908654,7,,The High Sparrow eyes another target. Jaime confronts a hero. Arya makes a plan. The North is reminded.,8.16667,6,The Broken Man,2016-06-04T11:46:12.000Z,48
0,[],2016-06-13 01:00:00,tt4283074,1187403,1989029,5624259,1065908655,8,,,8.27273,6,,2016-06-04T11:46:18.000Z,22
0,[],2016-06-20 01:00:00,tt4283088,1187404,1989030,5624260,1065908656,9,,,7.36364,6,,2016-06-04T11:46:22.000Z,22
0,[],2016-06-27 01:00:00,tt4283094,1187405,1989031,5624261,1065908657,10,,,9.5,6,,2016-06-04T11:46:27.000Z,16
